Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Thomas Rawls SEA ,https://s3.amazonaws.com/ryaong792/RB/T.Rawls.jpg,63,85.8,345.8,3,11.2,83.5,0.3,0.9,60.5
Alvin Kamara NO ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,64,41.7,178,1.2,35.3,284.8,1.3,1.5,58.3
Jacquizz Rodgers TB ,https://s3.amazonaws.com/ryaong792/RB/J.Rodgers.jpg,65,91.3,379.9,2.1,11.2,82.7,0.3,1.3,58.3
Kerwynn Williams ARI ,https://s3.amazonaws.com/ryaong792/RB/K.Williams.jpg,66,70.5,361,2.2,12,80,0.4,1.5,56.4
Damien Williams MIA ,https://s3.amazonaws.com/ryaong792/RB/D.Williams.jpg,67,43,168,1.3,23.7,208.7,2.1,1.7,54.7
T.J. Yeldon JAC ,https://s3.amazonaws.com/ryaong792/RB/T.Yeldon.jpg,68,52.2,201.1,1.4,31.4,215.7,0.9,1.5,52.1
Jerick McKinnon MIN ,https://s3.amazonaws.com/ryaong792/RB/J.McKinnon.jpg,69,55.8,226.1,1.6,24.3,164.5,1,1.4,52.1
Joe Williams SF ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,70,80.1,321.6,1.7,14.4,108.4,0.3,1.9,51
D'Onta Foreman HOU ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,71,84.7,334.7,2,9.3,63.7,0.2,1.3,50.2
Tim Hightower SF ,https://s3.amazonaws.com/ryaong792/RB/T.Hightower.jpg,72,74.5,298.9,1.9,12.1,100.8,0.3,1.6,49.8
Devontae Booker DEN ,https://s3.amazonaws.com/ryaong792/RB/D.Booker.jpg,73,75,285.1,2.2,16.1,130.2,0.3,3.8,48.9
Lance Dunbar LAR ,https://s3.amazonaws.com/ryaong792/RB/L.Dunbar.jpg,74,58.1,210.7,1.3,24.4,192.1,0.4,1.2,48.1
Marlon Mack IND ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,75,61.4,241.9,1.3,18.8,145.4,0.6,1.3,47.5
